concept,count,values
properties.snowCover,3,[None]
properties.license.grantedCountries,3,[None]
properties.keywords.normalized,3,"['kansas', 'midwest', 'north-america', 'oklahoma', 'south', 'united-states-of-america']"
properties.keywords.type,3,"['collection', 'continent', 'correction', 'country', 'day', 'instrument', 'location', 'month', 'orbitDirection', 'organisationName', 'platform', 'polarisation', 'processingContext', 'processingLevel', 'processingMode', 'processingSite', 'productType', 'productValidity', 'region', 'resolution', 'season', 'sensorMode', 'state', 'subswath', 'version', 'year']"
properties.centroid.coordinates,3,"[-97.304859749, 35.61096864]"
properties.processingLevel,3,['INT-PKG']
properties.organisationName,3,['CNES']
properties.links.title,3,"['GeoJSON link for 391f20b0-5b34-55f9-988b-924b922b8a67', 'GeoJSON link for da748378-c781-5d77-b460-32006085bb9e', 'GeoJSON link for dcc76105-bca8-5639-8d46-8ce3db47145f', 'Metadata link for 391f20b0-5b34-55f9-988b-924b922b8a67', 'Metadata link for da748378-c781-5d77-b460-32006085bb9e', 'Metadata link for dcc76105-bca8-5639-8d46-8ce3db47145f']"
properties.thumbnail,3,"['https://flatsim.cnes.fr/data/SHOWCASE/2021/02/09/NSBAS_INT-PKG_S1_OZARK-A034SUD-VV-2014-2021_IW123_2021-02-09_2021-03-05/NSBAS_INT-PKG_S1_OZARK-A034SUD-VV-2014-2021_IW123_2021-02-09_2021-03-05_THB_ALL.png', 'https://flatsim.cnes.fr/data/SHOWCASE/2021/02/21/NSBAS_INT-PKG_S1_OZARK-A034SUD-VV-2014-2021_IW123_2021-02-21_2021-03-17/NSBAS_INT-PKG_S1_OZARK-A034SUD-VV-2014-2021_IW123_2021-02-21_2021-03-17_THB_ALL.png', 'https://flatsim.cnes.fr/data/SHOWCASE/2021/02/21/NSBAS_INT-PKG_S1_OZARK-A034SUD-VV-2014-2021_IW123_2021-02-21_2021-03-29/NSBAS_INT-PKG_S1_OZARK-A034SUD-VV-2014-2021_IW123_2021-02-21_2021-03-29_THB_ALL.png']"
properties.subswath,3,['IW1_IW2_IW3']
doc_id,3,"['391f20b0-5b34-55f9-988b-924b922b8a67', 'da748378-c781-5d77-b460-32006085bb9e', 'dcc76105-bca8-5639-8d46-8ce3db47145f']"
properties.license.grantedOrganizationCountries,3,[None]
properties.startDate,3,"['2021-02-09T00:27:56Z', '2021-02-21T00:27:56Z']"
properties.processingContext,3,['OZARK-A034SUD-VV-2014-2021']
properties.services.download.mimeType,3,['application/zip']
properties.services.download.checksum,3,"['7cd9b92765803d73dffbf7adccfe1fb5', 'acf652523bece5dcba7741e05e79a33f', 'f7609b036b19e7615a55ce16ece85246']"
properties.productType,3,['INTERFEROGRAM']
properties.services.browse.layers.type,3,['WMS']
properties.completionDate,3,"['2021-03-05T00:27:56Z', '2021-03-17T00:27:56Z', '2021-03-29T00:27:56Z']"
properties.productIdentifier,3,"['NSBAS_INT-PKG_S1_OZARK-A034SUD-VV-2014-2021_IW123_2021-02-09_2021-03-05', 'NSBAS_INT-PKG_S1_OZARK-A034SUD-VV-2014-2021_IW123_2021-02-21_2021-03-17', 'NSBAS_INT-PKG_S1_OZARK-A034SUD-VV-2014-2021_IW123_2021-02-21_2021-03-29']"
properties.nbCols,3,[3593]
properties.processingSite,3,['OZARK-A034SUD-VV']
properties.services.download.url,3,"['https://flatsim.cnes.fr/atdistrib/resto2/collections/SHOWCASE/391f20b0-5b34-55f9-988b-924b922b8a67/download', 'https://flatsim.cnes.fr/atdistrib/resto2/collections/SHOWCASE/da748378-c781-5d77-b460-32006085bb9e/download', 'https://flatsim.cnes.fr/atdistrib/resto2/collections/SHOWCASE/dcc76105-bca8-5639-8d46-8ce3db47145f/download']"
properties.legend,3,"['https://flatsim.cnes.fr/data/SHOWCASE/2021/02/09/NSBAS_INT-PKG_S1_OZARK-A034SUD-VV-2014-2021_IW123_2021-02-09_2021-03-05/NSBAS_INT-PKG_S1_OZARK-A034SUD-VV-2014-2021_IW123_2021-02-09_2021-03-05_LGD_ALL.png', 'https://flatsim.cnes.fr/data/SHOWCASE/2021/02/21/NSBAS_INT-PKG_S1_OZARK-A034SUD-VV-2014-2021_IW123_2021-02-21_2021-03-17/NSBAS_INT-PKG_S1_OZARK-A034SUD-VV-2014-2021_IW123_2021-02-21_2021-03-17_LGD_ALL.png', 'https://flatsim.cnes.fr/data/SHOWCASE/2021/02/21/NSBAS_INT-PKG_S1_OZARK-A034SUD-VV-2014-2021_IW123_2021-02-21_2021-03-29/NSBAS_INT-PKG_S1_OZARK-A034SUD-VV-2014-2021_IW123_2021-02-21_2021-03-29_LGD_ALL.png']"
properties.keywords.parentHash,3,"['0ef226ac8b22377', '1a5360854a016c9', '37b6d22fe6814f3', '5b233c88bcdfbd9', '772e93bb1d09234', 'a51ef38723afbff', 'a79d36dd833540d', 'b1bd83dbedb661c', 'c63cbdca85f9c2e', 'd8c5d929951e445']"
properties.oragnisationName,3,['CNES']
properties.orbitDirection,3,['ASCENDING']
properties.resolution,3,[320]
